ID	SS02	SS04	SS06	SS08	SS10	SS12	SS14	AC	Gene_name_short	Protein_name	Species	Evalue
comp211543_c0	2525.3	884.49	673.92	471.86	404.85	311.35	249.52	P24861	CCNA_PATVU	"G2/mitotic-specific cyclin-A"	"Patella vulgata (Common limpet)."	1e-135
comp207086_c0	2475.82	2442.2	2204.18	2052.29	386.21	357.86	948.69	P90703	RLA2_BRUMA	"60S acidic ribosomal protein P2"	"Brugia malayi (Filarial nematode"	4e-30
comp215817_c0	2112.22	1266.32	1192.93	967.37	297.63	253.94	295.76	P07201	RIR2_SPISO	"Ribonucleoside-diphosphate reductase small chain"	"Spisula solidissima (Atlantic su"	0
comp215817_c0	2112.22	1266.32	1192.93	967.37	297.63	253.94	295.76	Q3KQ80	STPG1_XENLA	"O(6)-methylguanine-induced apoptosis 2"	"Xenopus laevis (African clawed f"	6e-75
comp197787_c0	1809.71	1635.43	1594.17	1445.72	325.18	276.77	729.3	P62914	RL11_RAT	"60S ribosomal protein L11"	"Rattus norvegicus (Rat)."	1e-105
comp197780_c0	1767.45	1762.43	1555.36	1461.86	430.83	385.55	775.45	Q8WQI5	RS8_SPOFR	"40S ribosomal protein S8"	"Spodoptera frugiperda (Fall army"	4e-122
comp206561_c1	1730.43	1743.68	1711.14	1797.48	361.14	310.58	901.76	Q6PBI5	RS25_DANRE	"40S ribosomal protein S25"	"Danio rerio (Zebrafish) (Brachyd"	6e-40
comp221990_c1	1604.5	1701.33	1451.85	1474.95	324.08	268.5	684.34	Q56K03	RL27A_BOVIN	"60S ribosomal protein L27a"	"Bos taurus (Bovine)."	2e-75
comp217269_c0	1553.77	1360.81	949.39	665.85	277.76	210.98	199.06	P24862	CCNB_PATVU	"G2/mitotic-specific cyclin-B"	"Patella vulgata (Common limpet)."	7e-142
comp212326_c0	1549.56	1769.68	1539.19	1007.37	632.72	634.2	706.41	Q91WJ8	FUBP1_MOUSE	"Far upstream element-binding protein 1"	"Mus musculus (Mouse)."	0.0000000000002
